"","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","days_since_last_login","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score","Days_from","time_from_last_visit"
"104",49,"F","Town","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",21,115.41,41156.81,27,741.02,"No","Yes","No","Not Applicable","Poor Customer Service","3",485,488
"107",27,"M","City","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",21,357.45,29825.45,9,665.63,"No","Yes","Yes","Solved","Poor Website","4",434,485
"108",56,"M","City","Gold Membership","No","Without Offers","Desktop","Fiber_Optic",21,1386.23285731118,9454.17,19,778.27,"Yes","No","No","Not Applicable","Too many ads","3",616,502
"110",31,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Both","Wi-Fi",10,428.05,6325.08,28,80.093693129055,"No","Yes","No","Not Applicable","Poor Product Quality","4",262,222
"111",29,"M","Town","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",14,42.48,16098.94,21,766.85,"Yes","No","Yes","Solved","Poor Website","3",603,326
"112",31,"F","City","Silver Membership","Yes","Without Offers","Smartphone","Wi-Fi",24,33.91,23226.43,7,762.48,"No","Yes","Yes","Solved","Poor Customer Service","3",620,566
"113",11,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",8,1060.52797915491,10990.31,16,271.714381293949,"Yes","No","No","Not Applicable","Poor Product Quality","5",1027,180
"115",26,"M","City","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",7,187.91,17002.23,11,700.11,"No","Yes","No","Not Applicable","Too many ads","3",47,159
"119",23,"M","Town","Gold Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",12,109.76,46102.66,8,783.03,"Yes","No","No","Not Applicable","Poor Product Quality","3",654,276
"122",42,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",10,1195.73266646723,31504.62,10,1207.25372867605,"Yes","No","No","Not Applicable","Poor Customer Service","3",937,224
"124",46,"M","Village","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",21,287.39,44809.68,27,629.6,"No","Yes","No","Not Applicable","Poor Product Quality","4",290,483
"126",61,"M","City","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",7,115.29,13019.31,14,164.070348161935,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality","4",214,152
"127",15,"F","City","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",5,185.05,43833.54,15,743.57,"No","Yes","No","Not Applicable","Poor Product Quality","3",880,112
"129",35,"M","City","Gold Membership","No","Without Offers","Both","Fiber_Optic",17,219.13,70247.76,3,1293.16938083934,"Yes","Yes","No","Not Applicable","User Friendly Website","1",1011,385
"130",57,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",8,400.35,30248.45,9,660.25,"No","Yes","Yes","Unsolved","Poor Customer Service","4",1083,175
"131",64,"M","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",20,49.24,39981.97,12,648.6,"Yes","No","Yes","Solved","Too many ads","5",1021,460
"132",21,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",16,590.85,21919.13,14,610.24,"Yes","No","Yes","Solved","Poor Product Quality","5",306,373
"133",53,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",22,1142.14883537467,34918.7,6,699.08,"Yes","No","Yes","Solved in Follow-up","Poor Website","4",338,512
"134",26,"M","Village","No Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",16,138.33,8025.77,29,1016.78571300975,"Yes","No","No","Not Applicable","Poor Customer Service","4",188,365
"135",61,"M","Town","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",7,516.46,45544.33,29,780.96,"No","Yes","Yes","Unsolved","Too many ads","3",723,145
"136",30,"M","Town","No Membership","No","Without Offers","Desktop","Fiber_Optic",19,211.19,2554.48,10,622.45,"Yes","Yes","Yes","Solved","Poor Website","5",978,455
"138",35,"F","City","Gold Membership","No","Without Offers","Smartphone","Fiber_Optic",10,267.45,32922.76,8,701.45,"No","Yes","No","Not Applicable","No reason specified","4",921,218
"140",53,"M","City","Gold Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",19,213.34,8860.9,6,671.74,"Yes","No","Yes","Solved","Poor Website","4",240,455
"142",23,"M","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",13,1044.24349368498,26060.01,22,684.88,"Yes","No","Yes","Solved","Poor Website","4",701,306
"145",37,"M","Village","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",11,172.07,23587.32,28,326.131070869729,"Yes","No","No","Not Applicable","Poor Website","4",1061,260
"150",59,"F","City","Basic Membership","No","Without Offers","Both","Wi-Fi",8,400.21,33996.1,38.4715992945021,697.6,"Yes","Yes","No","Not Applicable","Poor Product Quality","4",487,170
"151",50,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",13,103.36,39610.89,10,653.12,"Yes","No","Yes","Solved","Poor Customer Service","4",674,289
"154",12,"F","Town","Gold Membership","Yes","Without Offers","Desktop","Wi-Fi",9,412.22,1313.11,18,733.13,"Yes","Yes","No","Not Applicable","Products always in Stock","2",85,206
"155",29,"F","Village","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",19,222.69,18297.21,2,774.47,"No","Yes","Yes","No Information Available","Products always in Stock","1",727,438
"156",39,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",16,283.85,3888.65,18,959.920410013221,"Yes","No","No","Not Applicable","Products always in Stock","2",460,381
"157",37,"F","City","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",17,136.19,6965.48,5,1181.87376258307,"Yes","No","No","Not Applicable","Too many ads","3",224,393
"159",21,"M","Town","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",12,145.45,48500.63,11,727.97,"No","Yes","Yes","Solved","Poor Customer Service","3",914,278
"160",64,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",10,313.84,23211.35,15,573.16,"Yes","No","No","Not Applicable","Poor Product Quality","5",96,219
"161",56,"F","Town","Silver Membership","Yes","Without Offers","Smartphone","Wi-Fi",11,254.72,28425.26,11,789.3,"Yes","Yes","No","Not Applicable","No reason specified","3",697,249
"162",37,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",9,206.56,13037.39,13,616.68,"Yes","No","Yes","Solved in Follow-up","Too many ads","5",528,213
"163",55,"M","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",21,51.75,27564.76,24,660.59,"No","Yes","No","Not Applicable","Too many ads","5",450,499
"164",18,"M","City","Basic Membership","Yes","Without Offers","Smartphone","Fiber_Optic",10,117.9,49537.82,7,528.08,"Yes","No","Yes","Solved","Poor Product Quality","5",600,237
"167",48,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",15,77.18,49448.05,5,605.23,"No","Yes","Yes","No Information Available","Poor Product Quality","4",99,360
"168",54,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",8,60.77,45095.33,1.23473889875742,692.59,"Yes","No","No","Not Applicable","Poor Product Quality","5",525,174
"169",52,"F","Village","Gold Membership","No","Without Offers","Smartphone","Mobile_Data",15,197.85,42084.72,18,710.7,"No","Yes","No","Not Applicable","Poor Customer Service","3",0,352
"170",33,"F","Town","Platinum Membership","Yes","Without Offers","Both","Mobile_Data",11,502.4,4714.82,24,472.802570352002,"Yes","No","No","Not Applicable","Poor Website","3",102,259
"171",35,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",6,33.96,6175.77,22,545.14,"Yes","No","No","Not Applicable","Poor Product Quality","5",301,142
"172",42,"M","City","Platinum Membership","Yes","Without Offers","Both","Mobile_Data",13,617.09,33226.66,17,1053.42068543517,"Yes","Yes","Yes","No Information Available","Poor Product Quality","3",817,306
"173",39,"F","City","Gold Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",9,34.93,42965.53,29,630.68,"No","Yes","Yes","Solved","Poor Product Quality","4",65,196
"175",29,"M","City","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",11,317.25,17951.87,17,753.97,"No","Yes","No","Not Applicable","Poor Customer Service","3",1088,242
"179",14,"F","City","No Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",10,33.34,46392.24,24,582.93,"Yes","No","No","Not Applicable","Poor Customer Service","5",377,222
"180",13,"F","Village","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",5,84.05,10423.83,29,1044.81537996821,"No","Yes","Yes","No Information Available","No reason specified","3",398,114
"181",56,"F","Town","No Membership","Yes","Without Offers","Desktop","Wi-Fi",19,69.22,14117.54,12,523.54,"No","Yes","Yes","Solved in Follow-up","Poor Website","5",483,436
"183",47,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",20,692.73,18404.11,19,1072.74512805229,"Yes","No","Yes","No Information Available","Poor Website","4",1023,475
"185",45,"M","Town","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",14,38.65,1225.14,9,700.07,"Yes","No","Yes","Unsolved","Too many ads","3",271,319
"187",19,"F","Town","Premium Membership","Yes","Without Offers","Smartphone","Fiber_Optic",20,31.98,14432.03,24,730.04,"Yes","No","Yes","Solved","Poor Customer Service","3",641,459
"189",60,"M","City","Silver Membership","Yes","Credit/Debit Card Offers","Both","Mobile_Data",9,1185.91224972744,29872.64,8,744.29,"Yes","No","Yes","Solved in Follow-up","Poor Customer Service","3",888,201
"190",32,"M","Town","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",17,329.16,37811.56,27,757.14,"No","Yes","Yes","Unsolved","Poor Website","3",50,400
"191",36,"F","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",7,700.63,26571.36,13,738.84,"Yes","Yes","No","Not Applicable","Products always in Stock","2",22,157
"192",52,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",3,166.57,45964.8,17,630,"Yes","No","Yes","No Information Available","Too many ads","5",494,67
"193",39,"M","Town","No Membership","Yes","Without Offers","Smartphone","Fiber_Optic",12,126.05,43632.02,16,594.51,"Yes","No","No","Not Applicable","Poor Website","5",367,276
"194",42,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",11,428.35,26483.73,14,713.42,"No","Yes","No","Not Applicable","No reason specified","3",484,243
"196",17,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",15,196.56,1246.57,22,766.76,"Yes","No","Yes","Solved in Follow-up","No reason specified","3",172,343
"206",62,"F","Town","Gold Membership","Yes","Without Offers","Smartphone","Fiber_Optic",6,308.28,38497.78,21,792.37,"Yes","No","Yes","Unsolved","Too many ads","3",805,121
"208",56,"M","Town","Basic Membership","Yes","Without Offers","Desktop","Mobile_Data",5,732.71,47547.72,15,936.362280069914,"Yes","Yes","Yes","Unsolved","Poor Product Quality","4",526,118
"210",18,"F","Town","Gold Membership","No","Without Offers","Desktop","Wi-Fi",21,32.82,46250.9,2,779.89,"Yes","No","No","Not Applicable","User Friendly Website","1",608,489
"212",23,"M","City","Gold Membership","Yes","Without Offers","Desktop","Fiber_Optic",15,547.87,36383.39,4,763.15,"No","Yes","Yes","Solved","Products always in Stock","2",23,352
"213",17,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",14,80.4,15214.2,16,761.95,"Yes","No","No","Not Applicable","No reason specified","3",62,332
"215",31,"F","City","Silver Membership","Yes","Without Offers","Desktop","Wi-Fi",10,731.24,36981.7,26,774.16,"No","Yes","Yes","Unsolved","Poor Customer Service","3",333,222
"223",59,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",10,628.79,40093.14,55.016168569095,622.06,"No","Yes","No","Not Applicable","Poor Customer Service","4",1067,235
"224",23,"M","City","No Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",11,31.45,18606.73,24,621.94,"No","Yes","No","Not Applicable","Poor Product Quality","4",880,258
"225",32,"F","Town","Silver Membership","No","Without Offers","Smartphone","Wi-Fi",24,38.88,41019.89,19,750.83,"No","Yes","Yes","Solved","Quality Customer Care","2",923,567
"228",12,"M","Town","No Membership","No","Without Offers","Desktop","Wi-Fi",8,322.3,14310.09,11,559.245134925359,"Yes","No","No","Not Applicable","Poor Product Quality","5",60,171
"231",55,"F","City","Gold Membership","No","Without Offers","Smartphone","Fiber_Optic",12,291.94,97643.81,5,713.99,"Yes","Yes","No","Not Applicable","User Friendly Website","2",878,277
"233",56,"M","City","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",19,180.37,21460.83,27,240.158193031685,"Yes","No","No","Not Applicable","Poor Customer Service","3",689,435
"235",24,"F","Town","Platinum Membership","No","Without Offers","Smartphone","Mobile_Data",12,31.86,21842.03,19,743.44,"No","Yes","No","Not Applicable","Too many ads","3",1082,284
"238",58,"M","Town","Basic Membership","No","Without Offers","Desktop","Fiber_Optic",19,1223.76901145829,47756.12,15,631.09,"Yes","No","No","Not Applicable","No reason specified","5",1046,435
"239",63,"F","Village","Premium Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",15,1090.92,12483.66,2,705.75,"Yes","Yes","Yes","Solved in Follow-up","Quality Customer Care","2",198,349
"240",62,"M","Town","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",13,402.05,20411.69,15,517.351391337967,"Yes","No","No","Not Applicable","Products always in Stock","1",542,296
"241",48,"F","Village","Platinum Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",2,33.18,24394.24,16,1042.08706416048,"No","Yes","Yes","No Information Available","Poor Product Quality","3",997,29
"242",60,"M","Town","Gold Membership","Yes","","Smartphone","Fiber_Optic",9,54.08,19078.81,17,752.88,"Yes","No","Yes","Solved","Poor Website","3",791,201
"247",54,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",2,67.48,47619.23,10,754.69,"No","Yes","No","Not Applicable","Quality Customer Care","2",415,35
"248",12,"M","Town","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",2,226.47,27477.44,16,748.61,"Yes","No","No","Not Applicable","Poor Customer Service","3",983,43
"250",23,"M","Town","Premium Membership","No","Without Offers","Desktop","Wi-Fi",16,125.89,77291.02,1,1085.77060118686,"Yes","No","Yes","Solved","Reasonable Price","2",331,364
"251",62,"F","Village","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",17,112.9,20038.77,12,274.323584225184,"No","Yes","No","Not Applicable","Poor Product Quality","5",265,385
"254",22,"M","Village","Basic Membership","Yes","Without Offers","Desktop","Wi-Fi",10,589.12,36545.91,12,680.88,"Yes","No","Yes","Unsolved","Poor Customer Service","5",1034,232
"256",28,"M","City","Platinum Membership","Yes","Without Offers","Smartphone","Wi-Fi",16,43.58,23397.98,8,759.48,"Yes","No","No","Not Applicable","Poor Customer Service","3",160,369
"258",61,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",20,100.33,34614.42,15,642.93,"No","Yes","Yes","Solved in Follow-up","No reason specified","5",339,473
"259",64,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",11,449.03,33430.37,14,435.95254828444,"No","Yes","Yes","Solved","Quality Customer Care","1",440,252
"260",37,"M","Town","Silver Membership","Yes","Without Offers","Smartphone","Wi-Fi",7,43.78,17353.48,21,282.363879337758,"Yes","No","No","Not Applicable","Poor Customer Service","4",489,166
"265",20,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",14,233.72,15596.42,14,780.92,"Yes","No","No","Not Applicable","Poor Website","3",790,329
"266",27,"F","Village","No Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",15,304.09,32189.63,7,549.41,"No","Yes","Yes","No Information Available","Too many ads","5",898,350
"269",55,"F","City","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",12,488,20417.72,10,656.21,"No","Yes","No","Not Applicable","Poor Website","4",291,271
"270",21,"F","City","No Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",13,39.62,46139.37,16,673.05,"Yes","No","No","Not Applicable","Poor Customer Service","5",787,289
"271",12,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",17,110.59,12478.19,21,671.23,"No","Yes","Yes","Solved","Poor Customer Service","4",68,395
"272",58,"F","Town","Gold Membership","No","Without Offers","Both","Fiber_Optic",6,1600.12,15610.96,13,725.74,"No","Yes","Yes","Solved in Follow-up","Poor Website","3",135,138
"273",23,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",9,54.12,24610.29,10,653.38,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","5",878,194
"274",55,"F","Town","Silver Membership","No","Without Offers","Smartphone","Fiber_Optic",6,633.62,58077.98,7,796,"Yes","Yes","Yes","Solved in Follow-up","User Friendly Website","2",593,129
"276",16,"M","City","Gold Membership","Yes","Without Offers","Desktop","Fiber_Optic",26,936.34,30998.94,29,778.24,"Yes","Yes","Yes","Unsolved","No reason specified","3",244,612
"277",17,"M","Town","Silver Membership","No","Without Offers","Smartphone","Mobile_Data",6,352.25,31444.17,10,668.44,"Yes","Yes","Yes","Solved","Too many ads","4",709,133
"278",11,"M","City","Premium Membership","No","Without Offers","Smartphone","Fiber_Optic",18,128.93,66961.7,19,765.97,"No","Yes","No","Not Applicable","Quality Customer Care","2",955,421
"279",44,"M","City","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",20,38.56,16717.72,28,550.190086588655,"Yes","No","Yes","Solved in Follow-up","Poor Website","3",18,470
"280",16,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",7,220.07,45054.8,12,623.93,"Yes","Yes","No","Not Applicable","Too many ads","4",456,155
"282",17,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",9,1053.12,15799.78,28,945.431971421736,"Yes","Yes","Yes","Solved","Poor Product Quality","3",572,216
"283",35,"M","City","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",11,263.58,34046.4,9,649.88,"Yes","No","No","Not Applicable","Poor Customer Service","4",173,256
"285",25,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",14,142.87,43660.25,29,580.25,"No","Yes","Yes","No Information Available","Poor Customer Service","5",67,329
