age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,join_date,Days_from,time_from_last_visit,churn_risk_score
12,M,City,Premium Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,8,198.26,26105.24,7,721.36,Yes,No,No,Not Applicable,Poor Customer Service,2015-03-02,1035,171,2
52,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,9,119.47,10101.48,28,158.5477645,Yes,No,No,Not Applicable,Poor Website,2015-10-08,815,193,3
30,M,City,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15,68.19,21111.9,23,574.01,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,2016-10-13,444,338,3
26,F,Town,No Membership,Yes,Without Offers,Desktop,Wi-Fi,20,194.85,5912.06,13,568.34,Yes,No,No,Not Applicable,Too many ads,2017-07-01,183,476,3
24,M,City,Premium Membership,Yes,Without Offers,Desktop,Fiber_Optic,15,210.44,35531.98,25,745.49,Yes,No,No,Not Applicable,Poor Product Quality,2016-10-10,447,339,2
33,F,Town,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,12,394.26,34697.85,19,752.3,Yes,No,Yes,No Information Available,Poor Website,2017-02-02,332,283,2
17,M,City,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,6,348.07,94100.72,4,824.95,Yes,Yes,No,Not Applicable,User Friendly Website,2015-12-20,742,143,1
58,F,Village,Gold Membership,No,Without Offers,Smartphone,Mobile_Data,11,30.78,48080.03,10,713.62,Yes,No,No,Not Applicable,Poor Product Quality,2017-11-09,52,243,2
41,M,Town,Platinum Membership,No,Without Offers,Both,Fiber_Optic,13,282.87,27528.03,27,743.8,Yes,No,No,Not Applicable,Poor Website,2016-11-20,406,289,2
38,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8,324.75,28535.13,27,770.31,Yes,Yes,Yes,Solved,Poor Customer Service,2017-10-15,77,180,2
20,M,City,Silver Membership,Yes,Without Offers,Desktop,Fiber_Optic,16,237.39,25000.09,16,704.4,No,Yes,No,Not Applicable,Poor Website,2015-01-27,1069,380,3
35,F,Village,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20,148.24,30984.56,11,729.04,Yes,No,No,Not Applicable,Poor Customer Service,2016-10-30,427,475,2
43,M,Town,Premium Membership,No,Without Offers,Both,Wi-Fi,16,773.83,9091.94,20,700.4,No,Yes,No,Not Applicable,Poor Product Quality,2017-04-26,249,381,2
40,F,Town,Platinum Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18,251.06,63416.63,12,1087.184702,No,Yes,Yes,Solved in Follow-up,Products always in Stock,2015-08-22,862,421,1
48,F,Town,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,12,539.49,49270.76,12,503.95,Yes,No,No,Not Applicable,Too many ads,2017-03-17,289,280,3
35,M,Town,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12,34.48,48679.07,6,779.59,Yes,No,No,Not Applicable,Poor Product Quality,2015-05-11,965,279,2
35,M,Town,No Membership,Yes,Without Offers,Smartphone,Mobile_Data,4,157.03,22975.33,18,548.1,No,Yes,No,Not Applicable,Poor Website,2017-11-27,34,74,3
39,M,City,No Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,13,98.57,2645.63,23,674.42,No,Yes,No,Not Applicable,Poor Product Quality,2016-12-01,395,308,3
37,M,Village,No Membership,Yes,Without Offers,Both,Mobile_Data,17,687.16,29101.96,18,713.82,Yes,Yes,No,Not Applicable,Poor Customer Service,2016-05-17,593,405,3
50,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,19,65.39,17054.69,21,353.3690015,No,Yes,Yes,Solved,No reason specified,2015-01-21,1075,438,2
53,F,City,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,18,172.99,9044.15,8,763.14,Yes,No,Yes,Solved in Follow-up,Products always in Stock,2015-04-02,1004,411,1
62,F,City,No Membership,No,Without Offers,Both,Fiber_Optic,5,304.52,47658.52,29,699.19,No,Yes,Yes,Solved,Too many ads,2016-10-13,444,113,3
16,M,City,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,355.31,20457.22,5,1233.769727,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,2017-11-06,55,210,2
25,F,Village,Gold Membership,Yes,Without Offers,Smartphone,Mobile_Data,11,31.88,35414.54,20,788.67,No,Yes,No,Not Applicable,No reason specified,2017-05-18,227,249,2
24,F,Town,Premium Membership,Yes,Without Offers,Desktop,Fiber_Optic,5,181.34,43554.96,1,728.69,Yes,No,Yes,Solved in Follow-up,Products always in Stock,2017-08-29,124,100,1
48,M,City,No Membership,Yes,,Desktop,Mobile_Data,8,960.62,13954.02,17,631.15,No,Yes,Yes,Solved,Poor Customer Service,2015-03-27,1010,174,3
56,M,Village,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,24,48.59,28071.04,16,533.05,No,Yes,Yes,Solved,Poor Website,2017-08-22,131,558,3
23,F,Town,Gold Membership,Yes,Without Offers,Desktop,Wi-Fi,21,727.69,4919.72,13,758.83,Yes,Yes,No,Not Applicable,Too many ads,2016-08-04,514,494,2
23,M,City,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,10,934.3542198,11955.94,24,630.8,No,Yes,Yes,Unsolved,Poor Customer Service,2015-06-21,924,233,3
52,F,City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,4,826.51,14877.24,25,522.61,Yes,No,No,Not Applicable,Poor Customer Service,2017-11-13,48,76,3
49,F,Town,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,21,115.41,41156.81,27,741.02,No,Yes,No,Not Applicable,Poor Customer Service,2016-09-02,485,488,2
27,M,City,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,21,357.45,29825.45,9,665.63,No,Yes,Yes,Solved,Poor Website,2016-10-23,434,485,3
56,M,City,Gold Membership,No,Without Offers,Desktop,Fiber_Optic,21,1386.232857,9454.17,19,778.27,Yes,No,No,Not Applicable,Too many ads,2016-04-24,616,502,2
31,F,Town,Silver Membership,No,Credit/Debit Card Offers,Both,Wi-Fi,10,428.05,6325.08,28,80.09369313,No,Yes,No,Not Applicable,Poor Product Quality,2017-04-13,262,222,3
29,M,Town,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,14,42.48,16098.94,21,766.85,Yes,No,Yes,Solved,Poor Website,2016-05-07,603,326,2
31,F,City,Silver Membership,Yes,Without Offers,Smartphone,Wi-Fi,24,33.91,23226.43,7,762.48,No,Yes,Yes,Solved,Poor Customer Service,2016-04-20,620,566,2
11,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,8,1060.527979,10990.31,16,271.7143813,Yes,No,No,Not Applicable,Poor Product Quality,2015-03-10,1027,180,3
26,M,City,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7,187.91,17002.23,11,700.11,No,Yes,No,Not Applicable,Too many ads,2017-11-14,47,159,2
23,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12,109.76,46102.66,8,783.03,Yes,No,No,Not Applicable,Poor Product Quality,2016-03-17,654,276,2
42,M,City,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,10,1195.732666,31504.62,10,1207.253729,Yes,No,No,Not Applicable,Poor Customer Service,2015-06-08,937,224,2
46,M,Village,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,21,287.39,44809.68,27,629.6,No,Yes,No,Not Applicable,Poor Product Quality,2017-03-16,290,483,3
61,M,City,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7,115.29,13019.31,14,164.0703482,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,2017-05-31,214,152,3
15,F,City,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,5,185.05,43833.54,15,743.57,No,Yes,No,Not Applicable,Poor Product Quality,2015-08-04,880,112,2
35,M,City,Gold Membership,No,Without Offers,Both,Fiber_Optic,17,219.13,70247.76,3,1293.169381,Yes,Yes,No,Not Applicable,User Friendly Website,2015-03-26,1011,385,1
57,M,Town,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,8,400.35,30248.45,9,660.25,No,Yes,Yes,Unsolved,Poor Customer Service,2015-01-13,1083,175,3
64,M,Town,No Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,20,49.24,39981.97,12,648.6,Yes,No,Yes,Solved,Too many ads,2015-03-16,1021,460,3
21,M,Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,16,590.85,21919.13,14,610.24,Yes,No,Yes,Solved,Poor Product Quality,2017-02-28,306,373,3
53,F,Town,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,22,1142.148835,34918.7,6,699.08,Yes,No,Yes,Solved in Follow-up,Poor Website,2017-01-27,338,512,3
26,M,Village,No Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,16,138.33,8025.77,29,1016.785713,Yes,No,No,Not Applicable,Poor Customer Service,2017-06-26,188,365,3
61,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,7,516.46,45544.33,29,780.96,No,Yes,Yes,Unsolved,Too many ads,2016-01-08,723,145,2
30,M,Town,No Membership,No,Without Offers,Desktop,Fiber_Optic,19,211.19,2554.48,10,622.45,Yes,Yes,Yes,Solved,Poor Website,2015-04-28,978,455,3
35,F,City,Gold Membership,No,Without Offers,Smartphone,Fiber_Optic,10,267.45,32922.76,8,701.45,No,Yes,No,Not Applicable,No reason specified,2015-06-24,921,218,3
53,M,City,Gold Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,19,213.34,8860.9,6,671.74,Yes,No,Yes,Solved,Poor Website,2017-05-05,240,455,3
23,M,City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,13,1044.243494,26060.01,22,684.88,Yes,No,Yes,Solved,Poor Website,2016-01-30,701,306,3
37,M,Village,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11,172.07,23587.32,28,326.1310709,Yes,No,No,Not Applicable,Poor Website,2015-02-04,1061,260,3
59,F,City,Basic Membership,No,Without Offers,Both,Wi-Fi,8,400.21,33996.1,38.47159929,697.6,Yes,Yes,No,Not Applicable,Poor Product Quality,2016-08-31,487,170,3
50,F,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,103.36,39610.89,10,653.12,Yes,No,Yes,Solved,Poor Customer Service,2016-02-26,674,289,3
12,F,Town,Gold Membership,Yes,Without Offers,Desktop,Wi-Fi,9,412.22,1313.11,18,733.13,Yes,Yes,No,Not Applicable,Products always in Stock,2017-10-07,85,206,1
29,F,Village,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,19,222.69,18297.21,2,774.47,No,Yes,Yes,No Information Available,Products always in Stock,2016-01-04,727,438,1
39,F,City,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16,283.85,3888.65,18,959.92041,Yes,No,No,Not Applicable,Products always in Stock,2016-09-27,460,381,1
37,F,City,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,17,136.19,6965.48,5,1181.873763,Yes,No,No,Not Applicable,Too many ads,2017-05-21,224,393,2
21,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,12,145.45,48500.63,11,727.97,No,Yes,Yes,Solved,Poor Customer Service,2015-07-01,914,278,2
64,F,Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,10,313.84,23211.35,15,573.16,Yes,No,No,Not Applicable,Poor Product Quality,2017-09-26,96,219,3
56,F,Town,Silver Membership,Yes,Without Offers,Smartphone,Wi-Fi,11,254.72,28425.26,11,789.3,Yes,Yes,No,Not Applicable,No reason specified,2016-02-03,697,249,2
37,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,206.56,13037.39,13,616.68,Yes,No,Yes,Solved in Follow-up,Too many ads,2016-07-21,528,213,3
55,M,Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,21,51.75,27564.76,24,660.59,No,Yes,No,Not Applicable,Too many ads,2016-10-07,450,499,3
18,M,City,Basic Membership,Yes,Without Offers,Smartphone,Fiber_Optic,10,117.9,49537.82,7,528.08,Yes,No,Yes,Solved,Poor Product Quality,2016-05-10,600,237,3
48,F,City,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,15,77.18,49448.05,5,605.23,No,Yes,Yes,No Information Available,Poor Product Quality,2017-09-23,99,360,3
54,M,Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,8,60.77,45095.33,1.234738899,692.59,Yes,No,No,Not Applicable,Poor Product Quality,2016-07-24,525,174,3
52,F,Village,Gold Membership,No,Without Offers,Smartphone,Mobile_Data,15,197.85,42084.72,18,710.7,No,Yes,No,Not Applicable,Poor Customer Service,2017-12-31,0,352,2
33,F,Town,Platinum Membership,Yes,Without Offers,Both,Mobile_Data,11,502.4,4714.82,24,472.8025704,Yes,No,No,Not Applicable,Poor Website,2017-09-20,102,259,2
35,M,Town,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,6,33.96,6175.77,22,545.14,Yes,No,No,Not Applicable,Poor Product Quality,2017-03-05,301,142,3
42,M,City,Platinum Membership,Yes,Without Offers,Both,Mobile_Data,13,617.09,33226.66,17,1053.420685,Yes,Yes,Yes,No Information Available,Poor Product Quality,2015-10-06,817,306,2
39,F,City,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,34.93,42965.53,29,630.68,No,Yes,Yes,Solved,Poor Product Quality,2017-10-27,65,196,3
29,M,City,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,11,317.25,17951.87,17,753.97,No,Yes,No,Not Applicable,Poor Customer Service,2015-01-08,1088,242,2
14,F,City,No Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10,33.34,46392.24,24,582.93,Yes,No,No,Not Applicable,Poor Customer Service,2016-12-19,377,222,3
13,F,Village,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,5,84.05,10423.83,29,1044.81538,No,Yes,Yes,No Information Available,No reason specified,2016-11-28,398,114,2
56,F,Town,No Membership,Yes,Without Offers,Desktop,Wi-Fi,19,69.22,14117.54,12,523.54,No,Yes,Yes,Solved in Follow-up,Poor Website,2016-09-04,483,436,3
47,M,Town,No Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,20,692.73,18404.11,19,1072.745128,Yes,No,Yes,No Information Available,Poor Website,2015-03-14,1023,475,3
45,M,Town,Premium Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,14,38.65,1225.14,9,700.07,Yes,No,Yes,Unsolved,Too many ads,2017-04-04,271,319,2
19,F,Town,Premium Membership,Yes,Without Offers,Smartphone,Fiber_Optic,20,31.98,14432.03,24,730.04,Yes,No,Yes,Solved,Poor Customer Service,2016-03-30,641,459,2
60,M,City,Silver Membership,Yes,Credit/Debit Card Offers,Both,Mobile_Data,9,1185.91225,29872.64,8,744.29,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,2015-07-27,888,201,2
32,M,Town,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,17,329.16,37811.56,27,757.14,No,Yes,Yes,Unsolved,Poor Website,2017-11-11,50,400,2
36,F,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,7,700.63,26571.36,13,738.84,Yes,Yes,No,Not Applicable,Products always in Stock,2017-12-09,22,157,1
52,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,3,166.57,45964.8,17,630,Yes,No,Yes,No Information Available,Too many ads,2016-08-24,494,67,3
39,M,Town,No Membership,Yes,Without Offers,Smartphone,Fiber_Optic,12,126.05,43632.02,16,594.51,Yes,No,No,Not Applicable,Poor Website,2016-12-29,367,276,3
42,F,City,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,11,428.35,26483.73,14,713.42,No,Yes,No,Not Applicable,No reason specified,2016-09-03,484,243,2
17,F,Town,Gold Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,15,196.56,1246.57,22,766.76,Yes,No,Yes,Solved in Follow-up,No reason specified,2017-07-12,172,343,2
62,F,Town,Gold Membership,Yes,Without Offers,Smartphone,Fiber_Optic,6,308.28,38497.78,21,792.37,Yes,No,Yes,Unsolved,Too many ads,2015-10-18,805,121,2
56,M,Town,Basic Membership,Yes,Without Offers,Desktop,Mobile_Data,5,732.71,47547.72,15,936.3622801,Yes,Yes,Yes,Unsolved,Poor Product Quality,2016-07-23,526,118,3
18,F,Town,Gold Membership,No,Without Offers,Desktop,Wi-Fi,21,32.82,46250.9,2,779.89,Yes,No,No,Not Applicable,User Friendly Website,2016-05-02,608,489,1
23,M,City,Gold Membership,Yes,Without Offers,Desktop,Fiber_Optic,15,547.87,36383.39,4,763.15,No,Yes,Yes,Solved,Products always in Stock,2017-12-08,23,352,1
17,M,City,Platinum Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,14,80.4,15214.2,16,761.95,Yes,No,No,Not Applicable,No reason specified,2017-10-30,62,332,2
31,F,City,Silver Membership,Yes,Without Offers,Desktop,Wi-Fi,10,731.24,36981.7,26,774.16,No,Yes,Yes,Unsolved,Poor Customer Service,2017-02-01,333,222,2
59,M,Town,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,10,628.79,40093.14,55.01616857,622.06,No,Yes,No,Not Applicable,Poor Customer Service,2015-01-29,1067,235,3
23,M,City,No Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,11,31.45,18606.73,24,621.94,No,Yes,No,Not Applicable,Poor Product Quality,2015-08-04,880,258,3
32,F,Town,Silver Membership,No,Without Offers,Smartphone,Wi-Fi,24,38.88,41019.89,19,750.83,No,Yes,Yes,Solved,Quality Customer Care,2015-06-22,923,567,1
12,M,Town,No Membership,No,Without Offers,Desktop,Wi-Fi,8,322.3,14310.09,11,559.2451349,Yes,No,No,Not Applicable,Poor Product Quality,2017-11-01,60,171,3
55,F,City,Gold Membership,No,Without Offers,Smartphone,Fiber_Optic,12,291.94,97643.81,5,713.99,Yes,Yes,No,Not Applicable,User Friendly Website,2015-08-06,878,277,1
56,M,City,Platinum Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,19,180.37,21460.83,27,240.158193,Yes,No,No,Not Applicable,Poor Customer Service,2016-02-11,689,435,2
24,F,Town,Platinum Membership,No,Without Offers,Smartphone,Mobile_Data,12,31.86,21842.03,19,743.44,No,Yes,No,Not Applicable,Too many ads,2015-01-14,1082,284,2
58,M,Town,Basic Membership,No,Without Offers,Desktop,Fiber_Optic,19,1223.769011,47756.12,15,631.09,Yes,No,No,Not Applicable,No reason specified,2015-02-19,1046,435,3
63,F,Village,Premium Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,15,1090.92,12483.66,2,705.75,Yes,Yes,Yes,Solved in Follow-up,Quality Customer Care,2017-06-16,198,349,1
62,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,13,402.05,20411.69,15,517.3513913,Yes,No,No,Not Applicable,Products always in Stock,2016-07-07,542,296,1
48,F,Village,Platinum Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,2,33.18,24394.24,16,1042.087064,No,Yes,Yes,No Information Available,Poor Product Quality,2015-04-09,997,29,2
60,M,Town,Gold Membership,Yes,,Smartphone,Fiber_Optic,9,54.08,19078.81,17,752.88,Yes,No,Yes,Solved,Poor Website,2015-11-01,791,201,2
54,F,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,2,67.48,47619.23,10,754.69,No,Yes,No,Not Applicable,Quality Customer Care,2016-11-11,415,35,1
12,M,Town,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,2,226.47,27477.44,16,748.61,Yes,No,No,Not Applicable,Poor Customer Service,2015-04-23,983,43,2
23,M,Town,Premium Membership,No,Without Offers,Desktop,Wi-Fi,16,125.89,77291.02,1,1085.770601,Yes,No,Yes,Solved,Reasonable Price,2017-02-03,331,364,1
62,F,Village,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,17,112.9,20038.77,12,274.3235842,No,Yes,No,Not Applicable,Poor Product Quality,2017-04-10,265,385,3
22,M,Village,Basic Membership,Yes,Without Offers,Desktop,Wi-Fi,10,589.12,36545.91,12,680.88,Yes,No,Yes,Unsolved,Poor Customer Service,2015-03-03,1034,232,3
28,M,City,Platinum Membership,Yes,Without Offers,Smartphone,Wi-Fi,16,43.58,23397.98,8,759.48,Yes,No,No,Not Applicable,Poor Customer Service,2017-07-24,160,369,2
61,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,20,100.33,34614.42,15,642.93,No,Yes,Yes,Solved in Follow-up,No reason specified,2017-01-26,339,473,3
64,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,11,449.03,33430.37,14,435.9525483,No,Yes,Yes,Solved,Quality Customer Care,2016-10-17,440,252,1
37,M,Town,Silver Membership,Yes,Without Offers,Smartphone,Wi-Fi,7,43.78,17353.48,21,282.3638793,Yes,No,No,Not Applicable,Poor Customer Service,2016-08-29,489,166,3
20,F,Town,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,14,233.72,15596.42,14,780.92,Yes,No,No,Not Applicable,Poor Website,2015-11-02,790,329,2
27,F,Village,No Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,15,304.09,32189.63,7,549.41,No,Yes,Yes,No Information Available,Too many ads,2015-07-17,898,350,3
55,F,City,No Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,12,488,20417.72,10,656.21,No,Yes,No,Not Applicable,Poor Website,2017-03-15,291,271,3
21,F,City,No Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,13,39.62,46139.37,16,673.05,Yes,No,No,Not Applicable,Poor Customer Service,2015-11-05,787,289,3
12,M,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,17,110.59,12478.19,21,671.23,No,Yes,Yes,Solved,Poor Customer Service,2017-10-24,68,395,3
58,F,Town,Gold Membership,No,Without Offers,Both,Fiber_Optic,6,1600.12,15610.96,13,725.74,No,Yes,Yes,Solved in Follow-up,Poor Website,2017-08-18,135,138,2
23,F,Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,9,54.12,24610.29,10,653.38,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,2015-08-06,878,194,3
55,F,Town,Silver Membership,No,Without Offers,Smartphone,Fiber_Optic,6,633.62,58077.98,7,796,Yes,Yes,Yes,Solved in Follow-up,User Friendly Website,2016-05-17,593,129,1
16,M,City,Gold Membership,Yes,Without Offers,Desktop,Fiber_Optic,26,936.34,30998.94,29,778.24,Yes,Yes,Yes,Unsolved,No reason specified,2017-05-01,244,612,2
17,M,Town,Silver Membership,No,Without Offers,Smartphone,Mobile_Data,6,352.25,31444.17,10,668.44,Yes,Yes,Yes,Solved,Too many ads,2016-01-22,709,133,3
11,M,City,Premium Membership,No,Without Offers,Smartphone,Fiber_Optic,18,128.93,66961.7,19,765.97,No,Yes,No,Not Applicable,Quality Customer Care,2015-05-21,955,421,1
44,M,City,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20,38.56,16717.72,28,550.1900866,Yes,No,Yes,Solved in Follow-up,Poor Website,2017-12-13,18,470,2
16,F,Town,Gold Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,7,220.07,45054.8,12,623.93,Yes,Yes,No,Not Applicable,Too many ads,2016-10-01,456,155,3
17,F,Town,Silver Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,9,1053.12,15799.78,28,945.4319714,Yes,Yes,Yes,Solved,Poor Product Quality,2016-06-07,572,216,2
